INH1,GO:0004857
INH1,GO:0042030
STF1,GO:0051117
RAS1,GO:0003924
RAS1,GO:0003924
RAS2,GO:0003924
RAS2,GO:0005525
APC2,GO:0031625
YPT1,GO:0000149
YPT1,GO:0000149
YPT1,GO:0003924
YPT1,GO:0003924
MF(ALPHA)1,GO:0000772
MF(ALPHA)1,GO:0000772
MF(ALPHA)1,GO:1903135
SUV3,GO:0003724
BRR2,GO:0003724
BRR2,GO:0003724
BRR2,GO:0003724
HTB1,GO:0003677
HTB2,GO:0003677
VAR1,GO:0003735
RPP2B,GO:0003735
RPP2B,GO:0030295
RPL28,GO:0003723
RPL28,GO:0003735
DRS1,GO:0003724
RPS17A,GO:0003735
YDR210C-C,GO:0003723
IDP1,GO:0000287
SNF2,GO:0042393
HSP82,GO:0051082
YTA6,GO:0045182
TUF1,GO:0003746
TUF1,GO:0003924
AMS1,GO:0004559
AMS1,GO:0004559
AMS1,GO:0004559
AMS1,GO:0004559
SGV1,GO:0004672
SGV1,GO:0004672
SMK1,GO:0004672
SMK1,GO:0004672
GCN4,GO:0003682
GCN4,GO:0003700
GCN4,GO:0003700
GCN4,GO:0043565
GCN4,GO:0043565
GCN4,GO:0043565
GCN4,GO:0043565
GCN4,GO:0043565
ASM4,GO:0017056
FLP1,GO:0003690
FLP1,GO:0003697
FLP1,GO:0008301
FLP1,GO:0009009
MET17,GO:0016765
ASM4,GO:0003676
BI2,GO:0004518
CBP2,GO:0003723
CBP2,GO:0003723
HKR1,GO:0005034
AI1,GO:0003964
AI2,GO:0003964
SGS1,GO:0003678
QRI7,GO:0016747
AI3,GO:0004519
VMS1,GO:0004045
MRPL25,GO:0003735
AI4,GO:0004519
BI4,GO:0003723
SCEI,GO:0004519
SCEI,GO:0004519
PRP28,GO:0003676
LAS17,GO:0003779
URA3,GO:0004590
HES1,GO:0120015
GAT1,GO:0003700
SER2,GO:0036424
URA3,GO:0004590
URA3,GO:0004590
PAA1,GO:0008080
COX4,GO:0008270
KES1,GO:0120015
KES1,GO:0120015
AAT2,GO:0003824
AAT2,GO:0003824
AAT2,GO:0003824
SWH1,GO:0120015
CPA2,GO:0004088
SPT6,GO:0003677
DBP7,GO:0003724
SPB1,GO:0008649
RPN11,GO:0061578
RPN11,GO:0008233
SAD1,GO:0008270
YFH7,GO:0005524
