YSC0014,GO:0000025
YJL164C,GO:0006468
YBR297W,GO:0006355
YBL099W,GO:0015986
YSC0006,GO:0006355
YSC0009,GO:1904981
YPL154C,GO:0006508
YFL037W,GO:0031122
YKL218C,GO:0006520
YIL111W,GO:0006123
YHR051W,GO:0006123
YKR066C,GO:0034599
YOR083W,GO:0071930
YOL041C,GO:0000463
YJR104C,GO:0006801
YJR104C,GO:0006878
YJR104C,GO:0006882
YJR104C,GO:0031505
YJR104C,GO:0036091
YBR018C,GO:0033499
YJR104C,GO:0050821
YJR104C,GO:0051091
YJR104C,GO:1901856
YHR008C,GO:0072593
YER055C,GO:0000105
YOR195W,GO:0031536
YOR301W,GO:0007121
YBR160W,GO:0000706
YBR160W,GO:0006370
YBR160W,GO:0007130
YBR160W,GO:0010568
YBR160W,GO:0010570
YBR160W,GO:0010571
YBR160W,GO:0010696
YBR160W,GO:0010898
YBR160W,GO:0032210
YBR160W,GO:0034504
YBR160W,GO:0045819
YBR160W,GO:0045875
YBR160W,GO:0045892
YBR160W,GO:0045893
YBR160W,GO:0045930
YBR160W,GO:0045931
YBR160W,GO:0045944
YBR160W,GO:0051446
YBL023C,GO:1905775
YBR160W,GO:0051447
YBR160W,GO:0090169
YBR160W,GO:1901319
YBR160W,GO:1990139
YBR160W,GO:1990758
YBR160W,GO:2001033
YAL038W,GO:0006090
YAL038W,GO:0006096
YCR012W,GO:0006094
YCR012W,GO:0006096
YOR278W,GO:0033014
YDR545W,GO:0032508
YJR057W,GO:0006227
YJR057W,GO:0006233
YBR093C,GO:0006796
YBR093C,GO:0016036
YIL162W,GO:0005987
YIL069C,GO:0006412
YOR308C,GO:0000398
YIL162W,GO:0010147
YIL162W,GO:0034484
YIL162W,GO:1902927
YHR141C,GO:0006412
YML026C,GO:0006412
YNL329C,GO:0043335
YNCN0019C,GO:0006396
YMR297W,GO:0046938
YPL111W,GO:0019547
YPL111W,GO:0090368
YLR351C,GO:0006807
YDR022C,GO:0006914
YCL030C,GO:0000105
YBR011C,GO:0006796
YDL206W,GO:0055085
YDL206W,GO:0098655
YJR121W,GO:0015986
Q0085,GO:0015986
YLR450W,GO:0015936
YIR031C,GO:0006097
YOR014W,GO:2000786
YPR002W,GO:0019679
YOR365C,GO:0030148
YJL164C,GO:0006303
YDL101C,GO:0006303
YNL091W,GO:0017148
Q0080,GO:0015986
YNR001C,GO:0046356
YOR348C,GO:0006865
